citation,document_number,end_page,executive_order_notes,executive_order_number,html_url,pdf_url,publication_date,signing_date,start_page,title
65 FR 24595,00-10550,24606,"Revokes: EO 12088, October 13, 1978 (in part); EO 12843, April 21, 1993; EO 12856, August 3, 1993; EO 12969, August 8, 1995; Memorandum of April 26, 1994;;
 ;  Revoked by: EO 13423, January 24, 2007;;
 ;  See:  EO 13101, September 14, 1998; EO 13123, June 3, 1999; EO 13134, August 12, 1999",13148,https://www.federalregister.gov/documents/2000/04/26/00-10550/greening-the-government-through-leadership-in,https://www.gpo.gov/fdsys/pkg/FR-2000-04-26/pdf/00-10550.pdf,4/26/00,4/21/00,24593,Greening the Government Through Leadership in
65 FR 24607,00-10551,24611,"Revokes: EO 13031, December 13, 1996;;
 ;  Revoked by: EO 13423, January 24, 2007;;
 ;  See:  EO 13101, September 14, 1998; Proc. 7308, May 15, 2000 (65 FR 31783)",13149,https://www.federalregister.gov/documents/2000/04/26/00-10551/greening-the-government-through-federal-fleet-and,https://www.gpo.gov/fdsys/pkg/FR-2000-04-26/pdf/00-10551.pdf,4/26/00,4/21/00,24607,Greening the Government Through Federal Fleet and
65 FR 24613,00-10552,24614,NA,13150,https://www.federalregister.gov/documents/2000/04/26/00-10552/federal-workforce-transportation,https://www.gpo.gov/fdsys/pkg/FR-2000-04-26/pdf/00-10552.pdf,4/26/00,4/21/00,24613,Federal Workforce Transportation
65 FR 25619,00-11070,25621,"Amended by: EO 13284, January 23, 2003",13151,https://www.federalregister.gov/documents/2000/05/02/00-11070/global-disaster-information-network,https://www.gpo.gov/fdsys/pkg/FR-2000-05-02/pdf/00-11070.pdf,5/2/00,4/27/00,25617,Global Disaster Information Network
65 FR 26115,00-11336,26115,"Amends:  EO 11478, August 8, 1969;;
 ;  Note: This Executive order expands equal employment policy in the Federal Government by prohibiting discrimination based on parental status.",13152,https://www.federalregister.gov/documents/2000/05/04/00-11336/further-amendment-to-executive-order-11478-equal-employment-opportunity-in-federal-government,https://www.gpo.gov/fdsys/pkg/FR-2000-05-04/pdf/00-11336.pdf,5/4/00,5/2/00,26115,"Further Amendment to Executive Order 11478, Equal Employment Opportunity in Federal Government"
65 FR 26475,00-11531,26477,NA,13153,https://www.federalregister.gov/documents/2000/05/05/00-11531/actions-to-improve-low-performing-schools,https://www.gpo.gov/fdsys/pkg/FR-2000-05-05/pdf/00-11531.pdf,5/5/00,5/3/00,26473,Actions To Improve Low-Performing Schools
65 FR 26479,00-11532,26479,"Amended by: EO 13286, February 28, 2003;;
 ;  See:  EO 10977, December 4, 1961; EO 12985, January 11, 1996",13154,https://www.federalregister.gov/documents/2000/05/05/00-11532/establishing-the-kosovo-campaign-medal,https://www.gpo.gov/fdsys/pkg/FR-2000-05-05/pdf/00-11532.pdf,5/5/00,5/3/00,26479,Establishing the Kosovo Campaign Medal
65 FR 30521,00-12177,30523,NA,13155,https://www.federalregister.gov/documents/2000/05/12/00-12177/access-to-hivaids-pharmaceuticals-and-medical,https://www.gpo.gov/fdsys/pkg/FR-2000-05-12/pdf/00-12177.pdf,5/12/00,5/10/00,30521,Access to HIV/AIDS Pharmaceuticals and Medical
65 FR 31785,00-12840,31785,"Amends:  EO 12871, October 1, 1993;;
 ;  See:  EO 12983, December 21, 1995; EO 13203, February 17, 2001",13156,https://www.federalregister.gov/documents/2000/05/19/00-12840/amendment-to-executive-order-12871-regarding-the-national-partnership-council,https://www.gpo.gov/fdsys/pkg/FR-2000-05-19/pdf/00-12840.pdf,5/19/00,5/17/00,31785,Amendment to Executive Order 12871 Regarding the National Partnership Council
65 FR 34035,00-13367,34037,NA,13157,https://www.federalregister.gov/documents/2000/05/25/00-13367/increasing-opportunities-for-women-owned-small-businesses,https://www.gpo.gov/fdsys/pkg/FR-2000-05-25/pdf/00-13367.pdf,5/25/00,5/23/00,34033,Increasing Opportunities for Women-Owned Small Businesses
65 FR 34909,00-13830,34911,"See:  Proc. 5030, March 10, 1983; Proc. 5928, December 27, 1988; Proc. 7219, September 2, 1999; EO 13178, December 4, 2000
Continued by:  EO 13708, September 30, 2015",13158,https://www.federalregister.gov/documents/2000/05/31/00-13830/marine-protected-areas,https://www.gpo.gov/fdsys/pkg/FR-2000-05-31/pdf/00-13830.pdf,5/31/00,5/26/00,34909,Marine Protected Areas
65 FR 39279,00-16252,39280,"See:  EO 12938, November 14, 1994; EO 13085, May 26, 1998; Notice of June 18, 2002; Notice of June 10, 2003; Notice of June 16, 2004; Notice of June 17, 2005; Notice of June 19, 2006; Notice of June 19, 2007; Notice of June 18, 2008; Notice of June 18, 2009; Notice of June 17, 2010",13159,https://www.federalregister.gov/documents/2000/06/26/00-16252/blocking-property-of-the-government-of-the-russian-federation-relating-to-the-disposition-of-highly,https://www.gpo.gov/fdsys/pkg/FR-2000-06-26/pdf/00-16252.pdf,6/26/00,6/21/00,39279,Blocking Property of the Government of the Russian Federation Relating to the Disposition of Highly Enriched Uranium Extracted From Nuclear Weapons
65 FR 39775,00-16434,39778,"See:  EO 12250, November 2, 1980",13160,https://www.federalregister.gov/documents/2000/06/27/00-16434/nondiscrimination-on-the-basis-of-race-sex-color-national-origin-disability-religion-age-sexual,https://www.gpo.gov/fdsys/pkg/FR-2000-06-27/pdf/00-16434.pdf,6/27/00,6/23/00,39775,"Nondiscrimination on the Basis of Race, Sex, Color, National Origin, Disability, Religion, Age, Sexual Orientation, and Status as a Parent in Federally Conducted Education and Training Programs"
65 FR 41543,00-17174,41543,NA,13161,https://www.federalregister.gov/documents/2000/07/05/00-17174/establishment-of-the-presidential-medal-of-valor-for-public-safety-officers,https://www.gpo.gov/fdsys/pkg/FR-2000-07-05/pdf/00-17174.pdf,7/5/00,6/29/00,41541,Establishment of the Presidential Medal of Valor for Public Safety Officers
65 FR 43211,00-17829,43212,"Revokes: EO 12596, May 7, 1987;;
 ;  Revoked by: EO 13562, December 27, 2010",13162,https://www.federalregister.gov/documents/2000/07/12/00-17829/federal-career-intern-program,https://www.gpo.gov/fdsys/pkg/FR-2000-07-12/pdf/00-17829.pdf,7/12/00,7/6/00,43209,Federal Career Intern Program
65 FR 46563,00-19322,46564,"See: EO 13548, July 26, 2010; EO 13583, August 18, 2011",13163,https://www.federalregister.gov/documents/2000/07/28/00-19322/increasing-the-opportunity-for-individuals-with-disabilities-to-be-employed-in-the-federal,https://www.gpo.gov/fdsys/pkg/FR-2000-07-28/pdf/00-19322.pdf,7/28/00,7/26/00,46561,Increasing the Opportunity for Individuals With Disabilities To Be Employed in the Federal Government
65 FR 46565,00-19323,46566,NA,13164,https://www.federalregister.gov/documents/2000/07/28/00-19323/requiring-federal-agencies-to-establish-procedures-to-facilitate-the-provision-of-reasonable,https://www.gpo.gov/fdsys/pkg/FR-2000-07-28/pdf/00-19323.pdf,7/28/00,7/26/00,46565,Requiring Federal Agencies To Establish Procedures To Facilitate the Provision of Reasonable Accommodation
65 FR 49469,00-20670,49470,"Amended by: EO 13286, February 28, 2003",13165,https://www.federalregister.gov/documents/2000/08/14/00-20670/creation-of-the-white-house-task-force-on-drug-use-in-sports-and-authorization-for-the-director-of,https://www.gpo.gov/fdsys/pkg/FR-2000-08-14/pdf/00-20670.pdf,8/14/00,8/9/00,49469,Creation of the White House Task Force on Drug Use in Sports and Authorization for the Director of the Office of National Drug Control Policy To Serve as the United States Government's Representative on the Board of the World Anti-Doping Agency
65 FR 50121,00-20938,50122,"See:  Department of Justice notice of August 16, 2000 (65 FR 50123)",13166,https://www.federalregister.gov/documents/2000/08/16/00-20938/improving-access-to-services-for-persons-with-limited-english-proficiency,https://www.gpo.gov/fdsys/pkg/FR-2000-08-16/pdf/00-20938.pdf,8/16/00,8/11/00,50119,Improving Access to Services for Persons With Limited English Proficiency
65 FR 57079,00-24364,57079,"Amends:  EO 13147, March 7, 2000",13167,https://www.federalregister.gov/documents/2000/09/20/00-24364/amendment-to-executive-order-13147-increasing-the-membership-of-the-white-house-commission-on,https://www.gpo.gov/fdsys/pkg/FR-2000-09-20/pdf/00-24364.pdf,9/20/00,9/15/00,57077,"Amendment to Executive Order 13147, Increasing the Membership of the White House Commission on Complementary and Alternative Medicine Policy"
65 FR 58217,00-24978,58218,"Revoked by: EO 13225, September 28, 2001",13168,https://www.federalregister.gov/documents/2000/09/27/00-24978/presidents-commission-on-improving-economic-opportunity-in-communities-dependent-on-tobacco,https://www.gpo.gov/fdsys/pkg/FR-2000-09-27/pdf/00-24978.pdf,9/27/00,9/22/00,58215,President's Commission on Improving Economic Opportunity in Communities Dependent on Tobacco Production While Protecting Public Health
65 FR 60581,00-26397,60582,NA,13169,https://www.federalregister.gov/documents/2000/10/12/00-26397/assistance-to-small-business-exporters-and-dislocated,https://www.gpo.gov/fdsys/pkg/FR-2000-10-12/pdf/00-26397.pdf,10/12/00,10/6/00,60581,Assistance to Small Business Exporters and Dislocated
65 FR 60827,00-26446,60830,"See:  EO 11625, October 13, 1971",13170,https://www.federalregister.gov/documents/2000/10/12/00-26446/increasing-opportunities-and-access-for-disadvantaged-businesses,https://www.gpo.gov/fdsys/pkg/FR-2000-10-12/pdf/00-26446.pdf,10/12/00,10/6/00,60825,Increasing Opportunities and Access for Disadvantaged Businesses
65 FR 61251,00-26716,61253,"See: EO 13583, August 18, 2011",13171,https://www.federalregister.gov/documents/2000/10/16/00-26716/hispanic-employment-in-the-federal-government,https://www.gpo.gov/fdsys/pkg/FR-2000-10-16/pdf/00-26716.pdf,10/16/00,10/12/00,61249,Hispanic Employment in the Federal Government
65 FR 64577,00-27892,64577,"Amends:  EO 13078, March 13, 1998",13172,https://www.federalregister.gov/documents/2000/10/27/00-27892/amendment-to-executive-order-13078-to-expand-the-role-of-the-national-task-force-on-employment-of,https://www.gpo.gov/fdsys/pkg/FR-2000-10-27/pdf/00-27892.pdf,10/27/00,10/25/00,64575,"Amendment to Executive Order 13078, To Expand the Role of the National Task Force on Employment of Adults With Disabilities To Include a Focus on Youth"
65 FR 64579,00-27893,64580,"Amended by: EO 13359, October 20, 2004",13173,https://www.federalregister.gov/documents/2000/10/27/00-27893/interagency-task-force-on-the-economic-development-of-the-central-san-joaquin-valley,https://www.gpo.gov/fdsys/pkg/FR-2000-10-27/pdf/00-27893.pdf,10/27/00,10/25/00,64579,Interagency Task Force on the Economic Development of the Central San Joaquin Valley
65 FR 65705,00-28299,65706,"Revoked by: EO 13218, June 20, 2001",13174,https://www.federalregister.gov/documents/2000/11/02/00-28299/commission-on-workers-communities-and-economic-change-in-the-new-economy,https://www.gpo.gov/fdsys/pkg/FR-2000-11-02/pdf/00-28299.pdf,11/2/00,10/27/00,65705,"Commission on Workers, Communities, and Economic Change in the New Economy"
65 FR 67249,00-29003,67252,"Revokes: EO 13084, May 14, 1998;;
 ;  See:  EO 12866, September 30, 1993; EO 12988, February 5, 1996; EO 13132, August 4, 1999; EO 13336, April 30, 2004; Memorandum of April 29, 1994",13175,https://www.federalregister.gov/documents/2000/11/09/00-29003/consultation-and-coordination-with-indian-tribal-governments,https://www.gpo.gov/fdsys/pkg/FR-2000-11-09/pdf/00-29003.pdf,11/9/00,11/6/00,67249,Consultation and Coordination With Indian Tribal Governments
65 FR 71233,00-30690,71234,"Superseded by: EO 13476, October 9, 2008",13176,https://www.federalregister.gov/documents/2000/11/30/00-30690/facilitation-of-a-presidential-transition,https://www.gpo.gov/fdsys/pkg/FR-2000-11-30/pdf/00-30690.pdf,11/30/00,11/27/00,71233,Facilitation of a Presidential Transition
65 FR 76558,00-31252,76559,"Revoked (in part) by: EO 13316, September 17, 2003",13177,https://www.federalregister.gov/documents/2000/12/06/00-31252/national-commission-on-the-use-of-offsets-in-defense-trade-and-presidents-council-on-the-use-of,https://www.gpo.gov/fdsys/pkg/FR-2000-12-06/pdf/00-31252.pdf,12/6/00,12/4/00,76558,National Commission on the Use of Offsets in Defense Trade and President's Council on the Use of Offsets in Commercial Trade
65 FR 76903,00-31313,76910,"Amended by: EO 13196, January 18, 2001;;
 ;  See:  EO 13089, June 11, 1998; EO 13158, May 26, 2000; Proc. 5030, March 10, 1983; Proc. 5928, December 27, 1988; Proc. 7219, September 2, 1999",13178,https://www.federalregister.gov/documents/2000/12/07/00-31313/northwestern-hawaiian-islands-coral-reef-ecosystem-reserve,https://www.gpo.gov/fdsys/pkg/FR-2000-12-07/pdf/00-31313.pdf,12/7/00,12/4/00,76901,Northwestern Hawaiian Islands Coral Reef Ecosystem Reserve
65 FR 77487,00-31692,77490,"See: EO 13699, June 26, 2015
Continued by:  EO 13708, September 30, 2015",13179,https://www.federalregister.gov/documents/2000/12/11/00-31692/providing-compensation-to-americas-nuclear-weapons-workers,https://www.gpo.gov/fdsys/pkg/FR-2000-12-11/pdf/00-31692.pdf,12/11/00,12/7/00,77485,Providing Compensation to America's Nuclear Weapons Workers
65 FR 77493,00-31697,77494,"Amended by: EO 13264, June 4, 2002",13180,https://www.federalregister.gov/documents/2000/12/11/00-31697/air-traffic-performance-based-organization,https://www.gpo.gov/fdsys/pkg/FR-2000-12-11/pdf/00-31697.pdf,12/11/00,12/7/00,77491,Air Traffic Performance-Based Organization
65 FR 81321,00-33004,81323,NA,13181,https://www.federalregister.gov/documents/2000/12/26/00-33004/to-protect-the-privacy-of-protected-health-information-in-oversight-investigations,https://www.gpo.gov/fdsys/pkg/FR-2000-12-26/pdf/00-33004.pdf,12/26/00,12/20/00,81321,To Protect the Privacy of Protected Health Information in Oversight Investigations
65 FR 82879,00-33450,82888,"Supersedes: EO 13144, December 21, 1999;;
 ;  Superseded by: EO 13249, December 28, 2001",13182,https://www.federalregister.gov/documents/2000/12/29/00-33450/adjustments-of-certain-rates-of-pay,https://www.gpo.gov/fdsys/pkg/FR-2000-12-29/pdf/00-33450.pdf,12/29/00,12/23/00,82879,Adjustments of Certain Rates of Pay
65 FR 82889,00-33451,82890,"Amended by: EO 13209, April 30, 2001; EO 13319, December 3, 2003; EO 13517, October 30, 2009",13183,https://www.federalregister.gov/documents/2000/12/29/00-33451/establishment-of-the-presidents-task-force-on-puerto-ricos-status,https://www.gpo.gov/fdsys/pkg/FR-2000-12-29/pdf/00-33451.pdf,12/29/00,12/23/00,82889,Establishment of the President's Task Force on Puerto Rico's Status
66 FR 697,01-255,697,"Revokes: EO 12834, January 20, 1993",13184,https://www.federalregister.gov/documents/2001/01/03/01-255/revocation-of-executive-order-12834,https://www.gpo.gov/fdsys/pkg/FR-2001-01-03/pdf/01-255.pdf,1/3/01,12/28/00,695,Revocation of Executive Order 12834
66 FR 701,01-321,702,NA,13185,https://www.federalregister.gov/documents/2001/01/03/01-321/to-strengthen-the-federal-government-university-research-partnership,https://www.gpo.gov/fdsys/pkg/FR-2001-01-03/pdf/01-321.pdf,1/3/01,12/28/00,699,To Strengthen the Federal Government-University Research Partnership
66 FR 3853,01-1387,3856,NA,13186,https://www.federalregister.gov/documents/2001/01/17/01-1387/responsibilities-of-federal-agencies-to-protect-migratory-birds,https://www.gpo.gov/fdsys/pkg/FR-2001-01-17/pdf/01-1387.pdf,1/17/01,1/10/01,3853,Responsibilities of Federal Agencies To Protect Migratory Birds
66 FR 3857,01-1438,3858,"Amends: EO 13078, March 13, 1998;;
 ;  Revokes: EO 12640, May 10, 1988",13187,https://www.federalregister.gov/documents/2001/01/17/01-1438/the-presidents-disability-employment-partnership-board,https://www.gpo.gov/fdsys/pkg/FR-2001-01-17/pdf/01-1438.pdf,1/17/01,1/10/01,3857,The President's Disability Employment Partnership Board
66 FR 5419,01-1736,5419,"Amends: EO 13111, January 12, 1999;;
 ;  See: EO 13316, September 17, 2003",13188,https://www.federalregister.gov/documents/2001/01/18/01-1736/amendment-to-executive-order-13111-extension-of-the-advisory-committee-on-expanding-training,https://www.gpo.gov/fdsys/pkg/FR-2001-01-18/pdf/01-1736.pdf,1/18/01,1/12/01,5419,"Amendment to Executive Order 13111, Extension of the Advisory Committee on Expanding Training Opportunities"
66 FR 5421,01-1813,5423,NA,13189,https://www.federalregister.gov/documents/2001/01/19/01-1813/federal-interagency-task-force-on-the-district-of-columbia,https://www.gpo.gov/fdsys/pkg/FR-2001-01-19/pdf/01-1813.pdf,1/19/01,1/15/01,5421,Federal Interagency Task Force on the District of Columbia
66 FR 5424,01-1814,5425,NA,13190,https://www.federalregister.gov/documents/2001/01/19/01-1814/presidents-commission-on-educational-resource-equity,https://www.gpo.gov/fdsys/pkg/FR-2001-01-19/pdf/01-1814.pdf,1/19/01,1/15/01,5424,President's Commission on Educational Resource Equity
66 FR 7271,01-2014,7273,NA,13191,https://www.federalregister.gov/documents/2001/01/22/01-2014/implementation-of-the-african-growth-and-opportunity-act-and-the-united-states-caribbean-basin-trade,https://www.gpo.gov/fdsys/pkg/FR-2001-01-22/pdf/01-2014.pdf,1/22/01,1/17/01,7269,Implementation of the African Growth and Opportunity Act and the United States-Caribbean Basin Trade Partnership Act
66 FR 7379,01-2138,7385,"Amends: EO 13088, June 9, 1998;;
 ;  See: EO 13121, April 30, 1999; Notice of May 24, 2001 ;;
 ;  Revoked by: EO 13304, May 28, 2003",13192,https://www.federalregister.gov/documents/2001/01/23/01-2138/lifting-and-modifying-measures-with-respect-to-the-federal-republic-of-yugoslavia-serbia-and,https://www.gpo.gov/fdsys/pkg/FR-2001-01-23/pdf/01-2138.pdf,1/23/01,1/17/01,7379,Lifting and Modifying Measures With Respect to the Federal Republic of Yugoslavia (Serbia and Montenegro)
66 FR 7387,01-2139,7388,NA,13193,https://www.federalregister.gov/documents/2001/01/23/01-2139/federal-leadership-on-global-tobacco-control-and-prevention,https://www.gpo.gov/fdsys/pkg/FR-2001-01-23/pdf/01-2139.pdf,1/23/01,1/18/01,7387,Federal Leadership on Global Tobacco Control and Prevention
66 FR 7389,01-2140,7390,"Amended by: EO 13213, May 22, 2001;;
 ;  See: Notice of January 15, 2002; Notice of January 16, 2003; EO 13312, July 29, 2003;;
 ;  Revoked by: EO 13324, January 15, 2004",13194,https://www.federalregister.gov/documents/2001/01/23/01-2140/prohibiting-the-importation-of-rough-diamonds-from-sierra-leone,https://www.gpo.gov/fdsys/pkg/FR-2001-01-23/pdf/01-2140.pdf,1/23/01,1/18/01,7389,Prohibiting the Importation of Rough Diamonds From Sierra Leone
66 FR 7391,01-2141,7393,NA,13195,https://www.federalregister.gov/documents/2001/01/23/01-2141/trails-for-america-in-the-21st-century,https://www.gpo.gov/fdsys/pkg/FR-2001-01-23/pdf/01-2141.pdf,1/23/01,1/18/01,7391,Trails for America in the 21st Century
66 FR 7395,01-2214,7397,"Amends: EO 13178, December 4, 2000",13196,https://www.federalregister.gov/documents/2001/01/23/01-2214/final-northwestern-hawaiian-islands-coral-reef-ecosystem-reserve,https://www.gpo.gov/fdsys/pkg/FR-2001-01-23/pdf/01-2214.pdf,1/23/01,1/18/01,7395,Final Northwestern Hawaiian Islands Coral Reef Ecosystem Reserve
66 FR 7853,01-2398,7854,NA,13197,https://www.federalregister.gov/documents/2001/01/25/01-2398/governmentwide-accountability-for-merit-system-principles-workforce-information,https://www.gpo.gov/fdsys/pkg/FR-2001-01-25/pdf/01-2398.pdf,1/25/01,1/18/01,7851,Governmentwide Accountability for Merit System Principles; Workforce Information
